Park,placeID,canopy.coverage,Lat,Long,Nights.active,Cat,Fox,trapping_rate_cat,trapping_rate_fox,distance,park.size
Bushy,110,20.833,51.42091,-0.35471,24,0,1,0,0.041666667,0.004334168,4647922
Bushy,111,35.113,51.42048,-0.35334,24,0,1,0,0.041666667,0.005142119,4647922
Bushy,112,35.113,51.42056,-0.35147,2,0,1,0,0.5,0.006024675,4647922
Bushy,113,56.011,51.41976,-0.34827,19,0,30,0,1.578947368,0.0044868,4647922
Bushy,114,56.011,51.41995,-0.3458,24,0,4,0,0.166666667,0.003020637,4647922
Bushy,115,19.793,51.41983731,-0.341065,24,0,41,0,1.708333333,0.00274788,4647922
Bushy,116,19.793,51.42008235,-0.33892084,24,0,0,0,0,0.001978178,4647922
Bushy,117,23.629,51.41995,-0.33436,24,0,31,0,1.291666667,0.001178354,4647922
Bushy,118,40.906,51.41995,-0.33207,31,0,113,0,3.64516129,0.000802672,4647922
Bushy,119,17.419,51.41995,-0.32978,24,0,38,0,1.583333333,0.000492555,4647922
Bushy,120,17.419,51.42133,-0.35542,25,0,2,0,0.08,0.003569525,4647922
Bushy,121,10.92,51.42115,-0.35244,6,0,8,0,1.333333333,0.005568332,4647922
Bushy,122,10.92,51.42138,-0.35038,22,0,0,0,0,0.005067544,4647922
Bushy,123,28.967,51.42138,-0.34809,24,0,0,0,0,0.003396798,4647922
Bushy,124,28.967,51.42094657,-0.34075487,24,0,1,0,0.041666667,0.001596277,4647922
Bushy,125,28.967,51.42125242,-0.33899756,32,0,25,0,0.78125,0.00085834,4647922
Bushy,126,28.967,51.4239,-0.3574,24,0,26,0,1.083333333,0.000806497,4647922
Bushy,127,40.906,51.42282,-0.35496,36,1,139,0.027777778,3.861111111,0.003474804,4647922
Bushy,128,40.906,51.423282,-0.351601,24,0,12,0,0.5,0.003343999,4647922
Bushy,129,17.419,51.42285,-0.35095,24,0,17,0,0.708333333,0.00368598,4647922
Bushy,130,7.419,51.42293,-0.3481,21,0,7,0,0.333333333,0.002950364,4647922
Bushy,131,11.65,51.4233,-0.34561,24,0,24,0,1,0.000446685,4647922
Bushy,132,28.967,51.42425,-0.35724,24,0,9,0,0.375,0.000812835,4647922
Bushy,133,28.967,51.42425,-0.35496,24,0,1,0,0.041666667,0.00243113,4647922
Bushy,134,26.561,51.42425,-0.35267,22,0,24,0,1.090909091,0.002526098,4647922
Bushy,135,40.906,51.42425,-0.3458,24,0,14,0,0.583333333,0.000394058,4647922
Bushy,136,40.906,51.42568,-0.35267,24,0,17,0,0.708333333,0.001108693,4647922
Bushy,137,25.265,51.42534,-0.351,24,0,35,0,1.458333333,0.001224534,4647922
Bushy,138,25.265,51.42593,-0.34813,21,0,5,0,0.238095238,0.00023136,4647922
HH,1,9.648,51.5567652,-0.1594981,28,0,18,0,0.642857143,2.768202449,3606309
HH,2,9.648,51.5569361,-0.1570352,21,0,7,0,0.333333333,72.56672437,3606309
HH,3,23.451,51.5570779,-0.1540721,26,0,56,0,2.153846154,95.89629878,3606309
HH,4,23.451,51.5566076,-0.1520853,3,0,1,0,0.333333333,68.98209547,3606309
HH,5,23.454,51.5568577,-0.1505947,16,26,46,1.625,2.875,39.99100106,3606309
HH,6,53.626,51.55821574,-0.169554095,21,0,7,0,0.333333333,95.64756616,3606309
HH,7,39.753,51.5587886,-0.1677625,18,0,69,0,3.833333333,183.8018692,3606309
HH,8,9.648,51.55907,-0.156764,12,0,25,0,2.083333333,308.625643,3606309
HH,9,20.866,51.558603,-0.154504,21,1,88,0.047619048,4.19047619,260.3770402,3606309
HH,10,20.866,51.55821574,-0.152608304,36,43,104,1.194444444,2.888888889,165.6566234,3606309
HH,11,20.866,51.5590329,-0.1695786,21,0,31,0,1.476190476,184.8544155,3606309
HH,12,39.753,51.5596121,-0.165205,21,0,27,0,1.285714286,104.9674208,3606309
HH,13,40.866,51.5597,-0.1633,21,4,39,0.19047619,1.857142857,67.46354183,3606309
HH,14,40.866,51.5598,-0.1612,21,2,25,0.095238095,1.19047619,139.2743435,3606309
HH,15,30.348,51.5593975,-0.1583962,14,0,55,0,3.928571429,240.3367853,3606309
HH,16,30.348,51.5596651,-0.1562913,21,0,16,0,0.761904762,260.5981687,3606309
HH,17,20.866,51.55953206,-0.154726527,22,1,9,0.045454545,0.409090909,212.9528737,3606309
HH,18,20.866,51.55953206,-0.152608304,21,4,23,0.19047619,1.095238095,192.7040151,3606309
HH,19,20.866,51.5596096,-0.1503211,21,2,32,0.095238095,1.523809524,53.31250075,3606309
HH,20,75.463,51.5596096,-0.1503211,32,0,37,0,1.15625,53.31250075,3606309
HH,21,75.463,51.56084837,-0.173790542,21,0,17,0,0.80952381,16.94800259,3606309
HH,22,53.626,51.56084,-0.17167,14,0,41,0,2.928571429,104.3407684,3606309
HH,23,76.974,51.561,-0.169,21,0,21,0,1,269.4447578,3606309
HH,24,76.974,51.56084837,-0.167435871,21,0,11,0,0.523809524,311.2104129,3606309
HH,25,76.974,51.56084837,-0.165317647,21,2,19,0.095238095,0.904761905,217.31863,3606309
