hex_id,hex_area,canopykmsq,canopy_per,centroid_x,centroid_y
10721222,106088.115,51.827,0.049,506599.2886,177550.7975
10721224,106088.115,8767.762,8.265,506599.2886,177900.7975
10721226,106088.115,13723.73,12.936,506599.2886,178250.7975
10721228,106088.115,20223.015,19.062,506599.2886,178600.7975
10721230,106088.115,14414.071,13.587,506599.2886,178950.7975
10721232,106088.115,15914.009,15.001,506599.2886,179300.7975
10721234,106088.115,12612.051,11.888,506599.2886,179650.7975
10721236,106088.115,9175.121,8.649,506599.2886,180000.7975
10721238,106088.115,11129.823,10.491,506599.2886,180350.7975
10721240,106088.115,12286.046,11.581,506599.2886,180700.7975
10721242,106088.115,7587.204,7.152,506599.2886,181050.7975
10721244,106088.115,8230.495,7.758,506599.2886,181400.7975
10721246,106088.115,11496.696,10.837,506599.2886,181750.7975
10721248,106088.115,19169.976,18.07,506599.2886,182100.7975
10721250,106088.115,41342.979,38.97,506599.2886,182450.7975
10721252,106088.115,25864.537,24.38,506599.2886,182800.7975
10721254,106088.115,15780.666,14.875,506599.2886,183150.7975
10721256,106088.115,35767.051,33.714,506599.2886,183500.7975
10721258,106088.115,24807.422,23.384,506599.2886,183850.7975
10721260,106088.115,29165.944,27.492,506599.2886,184200.7975
10721262,106088.115,45250.882,42.654,506599.2886,184550.7975
10721264,106088.115,5889.856,5.552,506599.2886,184900.7975
10721266,106088.115,57905.492,54.582,506599.2886,185250.7975
10721268,106088.115,34377.928,32.405,506599.2886,185600.7975
10721270,106088.115,26834.407,25.294,506599.2886,185950.7975
10721272,106088.115,13808.486,13.016,506599.2886,186300.7975
10721274,106088.115,10023.491,9.448,506599.2886,186650.7975
10721276,106088.115,12957.452,12.214,506599.2886,187000.7975
10721278,106088.115,25985.321,24.494,506599.2886,187350.7975
10721280,106088.115,56334.615,53.102,506599.2886,187700.7975
10721282,106088.115,22270.724,20.993,506599.2886,188050.7975
10721284,106088.115,33098.487,31.199,506599.2886,188400.7975
10721286,106088.115,103752.957,97.799,506599.2886,188750.7975
10721288,106088.115,93136.443,87.792,506599.2886,189100.7975
10721290,106088.115,6019.628,5.674,506599.2886,189450.7975
10721292,106088.115,6084.788,5.736,506599.2886,189800.7975
10721294,106088.115,25339.31,23.885,506599.2886,190150.7975
10721296,106088.115,24692.697,23.276,506599.2886,190500.7975
10721298,106088.115,27632.792,26.047,506599.2886,190850.7975
10721300,106088.115,10858.484,10.235,506599.2886,191200.7975
10721302,106088.115,37211.192,35.076,506599.2886,191550.7975
10731205,106088.115,266.674,0.251,506902.3975,174575.7975
10731207,106088.115,0,0.0,506902.3975,174925.7975
10731209,106088.115,0,0.0,506902.3975,175275.7975
10731211,106088.115,0,0.0,506902.3975,175625.7975
10731213,106088.115,0,0.0,506902.3975,175975.7975
10731215,106088.115,0,0.0,506902.3975,176325.7975
10731217,106088.115,28.309,0.027,506902.3975,176675.7975
10731219,106088.115,1774.344,1.673,506902.3975,177025.7975
10731221,106088.115,312.411,0.294,506902.3975,177375.7975
10731223,106088.115,10660.498,10.049,506902.3975,177725.7975
10731225,106088.115,11762.26,11.087,506902.3975,178075.7975
10731227,106088.115,18486.218,17.425,506902.3975,178425.7975
10731229,106088.115,16529.035,15.58,506902.3975,178775.7975
10731231,106088.115,13476.326,12.703,506902.3975,179125.7975
10731233,106088.115,7507.622,7.077,506902.3975,179475.7975
10731235,106088.115,8702.137,8.203,506902.3975,179825.7975
10731237,106088.115,9816.052,9.253,506902.3975,180175.7975
10731239,106088.115,14771.218,13.924,506902.3975,180525.7975
10731241,106088.115,24217.892,22.828,506902.3975,180875.7975
10731243,106088.115,9640.895,9.088,506902.3975,181225.7975
10731245,106088.115,11420.486,10.765,506902.3975,181575.7975
10731247,106088.115,15773.026,14.868,506902.3975,181925.7975
10731249,106088.115,21579.755,20.341,506902.3975,182275.7975
10731251,106088.115,16543.264,15.594,506902.3975,182625.7975
10731253,106088.115,22433.79,21.146,506902.3975,182975.7975
10731255,106088.115,21942.327,20.683,506902.3975,183325.7975
10731257,106088.115,29859.247,28.146,506902.3975,183675.7975
10731259,106088.115,24350.146,22.953,506902.3975,184025.7975
10731261,106088.115,27467.923,25.892,506902.3975,184375.7975
10731263,106088.115,46898.651,44.207,506902.3975,184725.7975
10731265,106088.115,41461.784,39.082,506902.3975,185075.7975
10731267,106088.115,71913.987,67.787,506902.3975,185425.7975
10731269,106088.115,44999.399,42.417,506902.3975,185775.7975
10731271,106088.115,26234.396,24.729,506902.3975,186125.7975
10731273,106088.115,27612.158,26.028,506902.3975,186475.7975
10731275,106088.115,27613.828,26.029,506902.3975,186825.7975
10731277,106088.115,35779.416,33.726,506902.3975,187175.7975
10731279,106088.115,23477.998,22.131,506902.3975,187525.7975
10731281,106088.115,13423.586,12.653,506902.3975,187875.7975
10731283,106088.115,13572.421,12.794,506902.3975,188225.7975
10731285,106088.115,45621.796,43.004,506902.3975,188575.7975
10731287,106088.115,94320.918,88.908,506902.3975,188925.7975
10731289,106088.115,17840.092,16.816,506902.3975,189275.7975
10731291,106088.115,3466.777,3.268,506902.3975,189625.7975
10731293,106088.115,28705.389,27.058,506902.3975,189975.7975
10731295,106088.115,46324.004,43.666,506902.3975,190325.7975
10731297,106088.115,49646.167,46.797,506902.3975,190675.7975
10731299,106088.115,14536.497,13.702,506902.3975,191025.7975
10731301,106088.115,65336.556,61.587,506902.3975,191375.7975
10741200,106088.115,10560.038,9.954,507205.5064,173700.7975
10741202,106088.115,2735.982,2.579,507205.5064,174050.7975
10741204,106088.115,384.641,0.363,507205.5064,174400.7975
10741206,106088.115,24.668,0.023,507205.5064,174750.7975
10741208,106088.115,0,0.0,507205.5064,175100.7975
10741210,106088.115,0,0.0,507205.5064,175450.7975
10741212,106088.115,19.428,0.018,507205.5064,175800.7975
10741214,106088.115,5.778,0.005,507205.5064,176150.7975
10741216,106088.115,0,0.0,507205.5064,176500.7975
10741218,106088.115,2605.881,2.456,507205.5064,176850.7975
10741220,106088.115,9834.245,9.27,507205.5064,177200.7975
10741222,106088.115,17680.186,16.666,507205.5064,177550.7975
10741224,106088.115,37144.849,35.013,507205.5064,177900.7975
10741226,106088.115,25980.008,24.489,507205.5064,178250.7975
10741228,106088.115,34236.125,32.271,507205.5064,178600.7975
10741230,106088.115,19489.837,18.371,507205.5064,178950.7975
10741232,106088.115,17004.232,16.028,507205.5064,179300.7975
10741234,106088.115,7987.671,7.529,507205.5064,179650.7975
10741236,106088.115,7218.807,6.805,507205.5064,180000.7975
10741238,106088.115,32480.539,30.617,507205.5064,180350.7975
10741240,106088.115,45824.786,43.195,507205.5064,180700.7975
10741242,106088.115,32043.518,30.205,507205.5064,181050.7975
10741244,106088.115,22025.918,20.762,507205.5064,181400.7975
10741246,106088.115,18951.086,17.864,507205.5064,181750.7975
10741248,106088.115,18920.454,17.835,507205.5064,182100.7975
10741250,106088.115,19556.963,18.435,507205.5064,182450.7975
10741252,106088.115,31073.902,29.291,507205.5064,182800.7975
10741254,106088.115,19316.298,18.208,507205.5064,183150.7975
10741256,106088.115,24017.907,22.64,507205.5064,183500.7975
10741258,106088.115,45730.272,43.106,507205.5064,183850.7975
10741260,106088.115,27946.693,26.343,507205.5064,184200.7975
10741262,106088.115,25787.989,24.308,507205.5064,184550.7975
10741264,106088.115,45697.878,43.075,507205.5064,184900.7975
10741266,106088.115,34262.219,32.296,507205.5064,185250.7975
10741268,106088.115,41755.231,39.359,507205.5064,185600.7975
10741270,106088.115,58867.923,55.49,507205.5064,185950.7975
10741272,106088.115,39418.053,37.156,507205.5064,186300.7975
10741274,106088.115,38159.906,35.97,507205.5064,186650.7975
10741276,106088.115,41847.649,39.446,507205.5064,187000.7975
10741278,106088.115,24068.217,22.687,507205.5064,187350.7975
10741280,106088.115,8999.639,8.483,507205.5064,187700.7975
10741282,106088.115,11077.368,10.442,507205.5064,188050.7975
10741284,106088.115,16326.715,15.39,507205.5064,188400.7975
10741286,106088.115,24203.43,22.814,507205.5064,188750.7975
10741288,106088.115,66236.058,62.435,507205.5064,189100.7975
10741290,106088.115,70771.067,66.71,507205.5064,189450.7975
10741292,106088.115,8151.123,7.683,507205.5064,189800.7975
10741294,106088.115,25387.624,23.931,507205.5064,190150.7975
10741296,106088.115,7641.925,7.203,507205.5064,190500.7975
10741298,106088.115,7395.521,6.971,507205.5064,190850.7975
10741300,106088.115,12395.032,11.684,507205.5064,191200.7975
10741302,106088.115,63729.565,60.072,507205.5064,191550.7975
10751193,106088.08,34184.813,32.223,507508.61525,172475.7975
10751195,106088.08,34165.696,32.205,507508.61525,172825.7975
10751197,106088.08,20118.919,18.964,507508.61525,173175.7975
10751199,106088.08,7338.248,6.917,507508.61525,173525.7975
